year,month,subscribe,gender,count
2013,5,0,70,F,0
2013,5,0,70,NA,0
2013,5,0,>70,M,0
2013,5,0,>70,F,0
2013,5,0,>70,NA,0
2013,5,0,NA,M,0
2013,5,0,NA,F,0
2013,5,0,NA,NA,0
2013,5,1,10,M,0
2013,5,1,10,F,0
2013,5,1,10,NA,0
2013,5,1,20,M,0
2013,5,1,20,F,0
2013,5,1,20,NA,0
2013,5,1,30,M,0
2013,5,1,30,F,0
2013,5,1,30,NA,0
2013,5,1,40,M,0
2013,5,1,40,F,0
2013,5,1,40,NA,0
2013,5,1,50,M,0
2013,5,1,50,F,0
2013,5,1,50,NA,0
2013,5,1,60,M,0
2013,5,1,60,F,0
2013,5,1,60,NA,0
2013,5,1,70,M,0
2013,5,1,70,F,0
2013,5,1,70,NA,0
2013,5,1,>70,M,0
2013,5,1,>70,F,0
2013,5,1,>70,NA,0
2013,5,1,NA,M,0
2013,5,1,NA,F,0
2013,5,1,NA,NA,0
2013,6,0,10,M,0
2013,6,0,10,F,0
2013,6,0,10,NA,0
2013,6,0,20,M,0
2013,6,0,20,F,0
2013,6,0,20,NA,0
2013,6,0,30,M,0
2013,6,0,30,F,0
2013,6,0,30,NA,0
2013,6,0,40,M,0
2013,6,0,40,F,0
2013,6,0,40,NA,0
2013,6,0,50,M,0
2013,6,0,50,F,0
2013,6,0,50,NA,0
2013,6,0,60,M,0
2013,6,0,60,F,0
2013,6,0,60,NA,0
2013,6,0,70,M,0
2013,6,0,70,F,0
2013,6,0,70,NA,0
2013,6,0,>70,M,0
2013,6,0,>70,F,0
2013,6,0,>70,NA,0
2013,6,0,NA,M,0
2013,6,0,NA,F,0
2013,6,0,NA,NA,0
2013,6,1,10,M,0
2013,6,1,10,F,0
2013,6,1,10,NA,0
2013,6,1,20,M,0
2013,6,1,20,F,0
2013,6,1,20,NA,0
2013,6,1,30,M,0
2013,6,1,30,F,0
2013,6,1,30,NA,0
2013,6,1,40,M,0
2013,6,1,40,F,0
2013,6,1,40,NA,0
2013,6,1,50,M,0
2013,6,1,50,F,0
2013,6,1,50,NA,0
2013,6,1,60,M,0
2013,6,1,60,F,0
2013,6,1,60,NA,0
2013,6,1,70,M,0
2013,6,1,70,F,0
2013,6,1,70,NA,0
2013,6,1,>70,M,0
2013,6,1,>70,F,0
2013,6,1,>70,NA,0
2013,6,1,NA,M,0
2013,6,1,NA,F,0
2013,6,1,NA,NA,0
2013,7,0,10,M,0
2013,7,0,10,F,0
2013,7,0,10,NA,0
2013,7,0,20,M,0
2013,7,0,20,F,0
2013,7,0,20,NA,0
2013,7,0,30,M,0
2013,7,0,30,F,0
2013,7,0,30,NA,0
2013,7,0,40,M,0
2013,7,0,40,F,0
2013,7,0,40,NA,0
2013,7,0,50,M,0
2013,7,0,50,F,0
2013,7,0,50,NA,0
2013,7,0,60,M,0
2013,7,0,60,F,0
2013,7,0,60,NA,0
2013,7,0,70,M,0
2013,7,0,70,F,0
2013,7,0,70,NA,0
2013,7,0,>70,M,0
2013,7,0,>70,F,0
2013,7,0,>70,NA,0
2013,7,0,NA,M,0
2013,7,0,NA,F,0
2013,7,0,NA,NA,174915
2013,7,1,10,M,0
2013,7,1,10,F,0
2013,7,1,10,NA,0
2013,7,1,20,M,1998
2013,7,1,20,F,880
2013,7,1,20,NA,4
2013,7,1,30,M,120721
2013,7,1,30,F,48741
2013,7,1,30,NA,0
2013,7,1,40,M,192462
2013,7,1,40,F,57438
2013,7,1,40,NA,0
2013,7,1,50,M,116942
2013,7,1,50,F,28552
2013,7,1,50,NA,0
2013,7,1,60,M,59546
2013,7,1,60,F,17258
2013,7,1,60,NA,0
2013,7,1,70,M,17793
2013,7,1,70,F,3731
2013,7,1,70,NA,38
2013,7,1,>70,M,1905
2013,7,1,>70,F,377
2013,7,1,>70,NA,0
2013,7,1,NA,M,87
2013,7,1,NA,F,28
2013,7,1,NA,NA,0
2013,8,0,10,M,0
2013,8,0,10,F,0
2013,8,0,10,NA,0
2013,8,0,20,M,0
2013,8,0,20,F,0
2013,8,0,20,NA,0
2013,8,0,30,M,0
2013,8,0,30,F,0
2013,8,0,30,NA,0
2013,8,0,40,M,0
2013,8,0,40,F,0
2013,8,0,40,NA,0
2013,8,0,50,M,0
2013,8,0,50,F,0
2013,8,0,50,NA,0
2013,8,0,60,M,0
2013,8,0,60,F,0
2013,8,0,60,NA,0
2013,8,0,70,M,0
2013,8,0,70,F,0
2013,8,0,70,NA,0
2013,8,0,>70,M,0
2013,8,0,>70,F,0
2013,8,0,>70,NA,0
2013,8,0,NA,M,0
2013,8,0,NA,F,0
2013,8,0,NA,NA,186056
2013,8,1,10,M,0
2013,8,1,10,F,0
2013,8,1,10,NA,0
2013,8,1,20,M,2598
2013,8,1,20,F,936
2013,8,1,20,NA,2
2013,8,1,30,M,153789
2013,8,1,30,F,64522
2013,8,1,30,NA,0
2013,8,1,40,M,230250
2013,8,1,40,F,74132
2013,8,1,40,NA,0
2013,8,1,50,M,135458
2013,8,1,50,F,33416
2013,8,1,50,NA,13
2013,8,1,60,M,70624
2013,8,1,60,F,21137
2013,8,1,60,NA,0
2013,8,1,70,M,21701
2013,8,1,70,F,4368
2013,8,1,70,NA,37
2013,8,1,>70,M,2384
2013,8,1,>70,F,405
2013,8,1,>70,NA,0
2013,8,1,NA,M,98
