id,name,lat,long,nbBikes,nbEmptyDocks,installed,locked,temporary,public
84,Convention Center / 7th & M St NW,38.905737,-77.02227,12,4,true,false,false,true
85,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,5,10,true,false,false,true
86,19th & L St NW,38.903407,-77.043648,7,7,true,false,false,true
87,C & O Canal & Wisconsin Ave NW,38.90375,-77.06269,7,16,true,false,false,true
88,6th & Water St SW / SW Waterfront,38.87675,-77.02127,7,12,true,false,false,true
89,D St & Maryland Ave NE,38.894758,-76.997114,12,10,true,false,false,true
90,34th St & Wisconsin Ave NW,38.916442,-77.0682,4,6,true,false,false,true
91,13th St & New York Ave NW,38.900283,-77.029822,12,11,true,false,false,true
92,8th & H St NW,38.8997,-77.023086,12,21,true,false,false,true
93,10th & Monroe St NE,38.932514,-76.992889,8,3,true,false,false,true
94,Eckington Pl & Q St NE,38.910972,-77.00495,3,8,true,false,false,true
95,6th & H St NE,38.899972,-76.998347,12,10,true,false,false,true
96,3rd & H St NE,38.900412,-77.001949,0,19,true,false,false,true
97,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872,1,13,true,false,false,true
98,4th & East Capitol St NE,38.889955,-77.000349,8,2,true,false,false,true
99,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,15,10,true,false,false,true
100,Branch & Pennsylvania Ave SE,38.8692,-76.9599,5,6,true,false,false,true
101,13th & D St NE,38.894832,-76.987633,18,13,true,false,false,true
102,New Hampshire Ave & T St NW,38.91554,-77.03818,5,16,true,false,false,true
103,Metro Center / 12th & G St NW,38.898364,-77.027869,15,16,true,false,false,true
104,14th & D St NW / Ronald Reagan Building,38.894514,-77.031617,6,19,true,false,false,true
105,8th & F St NW,38.89688642420615,-77.02291488647461,12,15,true,false,false,true
106,17th & K St NW / Farragut Square,38.902061,-77.038322,8,27,true,false,false,true
107,20th & O St NW / Dupont South,38.908905,-77.04478,5,14,true,false,false,true
108,4th & D St NW / Judiciary Square,38.895344,-77.016106,6,9,true,false,false,true
109,19th St & Constitution Ave NW,38.8923,-77.0436,8,26,true,false,false,true
110,37th & O St NW / Georgetown University,38.90774,-77.071652,4,19,true,false,false,true
111,11th & H St NE,38.899983,-76.991383,10,9,true,false,false,true
112,25th St & Pennsylvania Ave NW,38.903827,-77.053485,7,7,true,false,false,true
113,Columbus Circle / Union Station,38.89696,-77.00493,29,17,true,false,false,true
114,North Capitol St & F St NW,38.897446,-77.009888,1,22,true,false,false,true
115,11th & M St NW,38.905607,-77.027137,14,5,true,false,false,true
116,36th & Calvert St NW / Glover Park,38.922581,-77.070334,9,6,true,false,false,true
117,14th & G St NW,38.898069,-77.031823,10,12,true,false,false,true
118,Potomac Ave & 35th St S,38.844015,-77.050537,14,9,true,false,false,true
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,5,17,true,false,false,true
125,11th & F St NW,38.897857,-77.026975,4,10,true,false,false,true
126,23rd & E St NW ,38.896104,-77.049882,8,11,true,false,false,true
127,Lynn & 19th St North,38.897315,-77.070993,9,22,true,false,false,true
